filename_a,filename_b,score,vector_score,skill_overlap,seniority,family_a,family_b,same_function,restricted,human_label
20080902_00001220_ITP_IV.doc,20190829_00001842ITP_IV.doc,0.5200,1.0000,0.0000,0.7000,unmapped,manager,False,False,
20110331_00000947_Dir_Major_Gifts.docx,20160407_00109714_Snr_Assoc_Dir_Major_Gifts.docx,0.5200,1.0000,0.0000,0.7000,director,manager,False,False,
20120301_00001077_Assoc_Director.docx,20080411_00001077_Manager_Admissions_Processing.docx,0.5200,1.0000,0.0000,0.7000,manager,manager,False,False,
20121026_00000898_Senior_Financial_Analyst.docx,20110420_00109247_Finance_Professional_IV.docx,0.5200,1.0000,0.0000,0.7000,unmapped,unmapped,False,False,
20130103_00099045_ITP_IV.doc,20060701_00001842ITP_IV.doc,0.5200,1.0000,0.0000,0.7000,unmapped,manager,False,False,
20140401_00114577_Communications_Coordinator.docx,20140401_00114577_Communications_Coordinator.doc,0.5199,0.9998,0.0000,0.7000,unmapped,unmapped,False,True,
20150311_00116848_Director_Major_Gifts.docx,20160330_00109714_Assoc_Dir_Major_Gifts.docx,0.5179,0.9953,0.0000,0.7000,director,manager,False,False,
20160330_00109714_Assoc_Dir_Major_Gifts.docx,20120709_00098935_Director_Major_Gifts.docx,0.5200,1.0000,0.0000,0.7000,manager,director,False,False,
20160407_00116848_Snr_Assoc_Director.docx,20150311_00116848_Director_Major_Gifts.docx,0.5180,0.9956,0.0000,0.7000,manager,director,False,False,
19670501_00006855Assistant_to_assoc_dean.doc,19930215_00000595Departmental_assistant.doc,0.4637,0.8749,0.0000,0.7000,assistant,assistant,True,False,
20020324_00001323Psychologist.doc,20160601_00107972_20160601.docx,0.5045,0.9657,0.0000,0.7000,unmapped,unmapped,True,False,
20041102_00001089Clerk.doc,20041102_00001104Clerk.doc,0.5200,1.0000,0.0000,0.7000,unmapped,unmapped,True,False,
"20060607_76029_Technician,_Gr_7_SFU_Doc_Solutions.doc",20160629_00099095_Manager.docx,0.4394,0.8208,0.0000,0.7000,manager,manager,True,False,
"20070329_00097531,_Mgr,_Acad____Admin__Serv_,Explor_Prog.doc","20070605_00030102_Manager,_Acad___Admin__Serv,_Eng_Sci.doc",0.5052,0.9671,0.0000,0.7000,manager,manager,True,False,
20081127_00100418_ITP_II.doc,20100901_00108325_ITP_II.docx,0.5172,0.9938,0.0000,0.7000,unmapped,unmapped,True,False,
20101015_00001401_Dir_Admn.docx,20090929_00030941_Director_Treasury.doc,0.4844,0.9210,0.0000,0.7000,director,director,True,False,
20120105_111020ITPII.doc,20120222_00111242_ITP.doc,0.5096,0.9769,0.0000,0.7000,unmapped,unmapped,True,False,
20130313_00103649_Clerk.docx,20180822_00124406_Front_Desk_Clerk.docx,0.5768,0.8642,0.2287,0.8500,unmapped,unmapped,True,False,
20140821_00115707_Technician.docx,"20060405_00099950_Technician,_Gr._10.doc",0.4761,0.9025,0.0000,0.7000,unmapped,unmapped,True,False,
20151027_00118007_Administrator.docx,20100506_00107399_Coord_Aboriginal_Prgrms.doc,0.5002,0.9560,0.0000,0.7000,unmapped,unmapped,True,True,
20160908_00000702_Student_Affairs_Coordinator.docx,20160118_00115104_Coordinator.docx,0.4909,0.9352,0.0000,0.7000,unmapped,unmapped,True,False,
20171020_00122610_Data_Analyst.docx,20190718_00126418_Jr_Business_Analyst.docx,0.5122,0.8321,0.0840,1.0000,unmapped,unmapped,True,False,
20180920_00124672_Program_Coordinator_WIL.docx,20080709_00104291_Program_Coordinator_WIL.doc,0.4536,0.8524,0.0000,0.7000,unmapped,unmapped,True,False,
20190711_00103154_Technology_Coordinator.docx,20180620_00122743_Technology_Coordinator.docx,0.5200,1.0000,0.0000,0.7000,unmapped,unmapped,True,False,
20190822_00126004_Associate_Director.docx,20170317_00118178_Associate_Director.docx,0.4402,0.8228,0.0000,0.7000,manager,manager,True,False,
"20200101_14_-_Template_JDFN_Director,_Admin.docx",20190801_00110830_Manager_Administration.docx,0.4843,0.8615,0.0592,0.7000,director,manager,True,False,
20200924_00001090_JDFN_APSA_20200101.docx,19900518_00030516Systems_consultantII.doc,0.4202,0.7447,0.0335,0.7000,unmapped,unmapped,True,False,
20210509_00109413_JDFN_APSA_20210509.docx,20121001_00000602_Director_Advancement.docx,0.5171,0.9936,0.0000,0.7000,director,director,True,False,
"20220225_20190829_00030102_Manager,Acad_Admin_Serv,Eng_Sci.doc",20140917_00098394_Ugrad_Programs.docx,0.4938,0.9417,0.0000,0.7000,manager,manager,True,False,
20230418_20230328_00134177_JDFN_APSA_20230418.docx,20210126_00124373_JDFN_APSA_20210422.docx,0.4982,0.8820,0.0696,0.7000,unmapped,unmapped,True,False,
20241104_00108447_JDFN_APSA_20241021.docx,20230104_00133923_JDFN_APEX_20230104.docx,0.4727,0.8872,0.0076,0.7000,unmapped,unmapped,True,False,
20100415_00000066_Clerk_Typist.doc,20110202_00109129_Clerk_Typist.docx,0.7586,0.9367,0.5601,0.8500,unmapped,assistant,False,False,
20110202_00109129_Clerk_Typist.docx,20190226_00125696_Clerk_Typist.doc,0.7987,0.9773,0.6088,0.8500,assistant,unmapped,False,False,
20160620_00110550_Secretary.docx,20111025_00110550_Secretary.doc,0.7800,0.9718,0.5726,0.8500,assistant,unmapped,False,False,
19920508_00030993Secretary.doc,20060327_00030711Secretary.doc,0.6374,0.9080,0.3196,0.8500,unmapped,unmapped,True,False,
20061020_00101174Clerk.doc,20150811_00001987_Clerk.docx,0.7364,0.9689,0.4787,0.8500,unmapped,unmapped,True,False,
20071119_103194_FINAL.doc,20190718_00077032_Secretary.docx,0.7579,0.9638,0.5315,0.8500,unmapped,unmapped,True,False,
"20090514_00001501ClerkMay14,09.doc",20190919_00000035_Clerk.docx,0.7201,0.9591,0.4523,0.8500,unmapped,associate,True,False,
20100618_00030662_Secretary.doc,20160331_00030662_Secretary.docx,0.6512,0.9375,0.3206,0.8500,unmapped,unmapped,True,False,
20110927_00064911_Program_Assistant.doc,20050829_00098708Clerk_Typist_Aug2005.doc,0.6778,0.8909,0.4264,0.8500,unmapped,unmapped,True,False,
20121210_00112691_Clerk.doc,20100212_00001743_Program_Asst.doc,0.6783,0.8926,0.4036,0.9500,unmapped,unmapped,True,False,
20131022_00031133_Secretary.doc,20110126_00109083_Clerk_Typist.doc,0.7224,0.9090,0.4740,1.0000,unmapped,unmapped,True,False,
20150427_00000569_Secretary.docx,20120619_00111663_Secretary.docx,0.6980,0.9387,0.4235,0.8500,assistant,assistant,True,False,
20160405_00099920_Program_Assistant.docx,20060704_00100516_Clerk_Typist.docx,0.6306,0.8879,0.3245,0.8500,assistant,assistant,True,False,
20170602_00031128_Clerk.doc,20200401_00125904_JDFN_CUPE_20200401.docx,0.6101,0.8997,0.2671,0.8500,unmapped,unmapped,True,False,
20180501_00123616_Clerk.doc,20220112_00112593_JDFN_CUPE_20220112.doc,0.7751,0.9149,0.5852,1.0000,unmapped,unmapped,True,False,
20190301_00031257_Secretary.docx,20151130_00002511_Secretary.docx,0.6023,0.9422,0.2074,0.8500,unmapped,unmapped,True,False,
20190722_00030687_Undergraduate_Advisor.docx,20231101_00117368_JDFN_APSA_2021.docx,0.6177,0.9619,0.2553,0.7000,unmapped,unmapped,True,False,
20191006_00031557_Program_Assistant.docx,20101110_00100602_Program_Assistant.docx,0.6049,0.8795,0.3036,0.7250,assistant,assistant,True,False,
20200601_00103611_JDFN_CUPE_20200327.docx,20100211_00030152_Clerk.doc,0.6151,0.9489,0.2290,0.8500,unmapped,unmapped,True,False,
20201211_00119388_JDFN_CUPE_20201211.docx,20160822_00000210_Clerk.docx,0.6589,0.9159,0.3594,0.8500,assistant,assistant,True,False,
20210716_00118786_JDFN_APSA_20210716.docx,20200926_00118786_JDFN_APSA_20201007.docx,0.7186,0.9117,0.4631,1.0000,unmapped,unmapped,True,False,
20220211_00131584_JDFN_APSA_20220316.docx,20240221_00135434_JDFN_APSA_20240221.docx,0.7234,0.8402,0.5562,0.9500,unmapped,unmapped,True,False,
20221130_00133440_JDFN_CUPE_20220909.docx,20210608_00120007_JDFN_CUPE_20210621.docx,0.6334,0.9140,0.3046,0.8500,assistant,assistant,True,False,
