filename_a,filename_b,jaccard,cosine,same_position,human_label
20190227_00124089_Executive_Secretary.docx,20200203_00124089_JDFN_APSA_20200203.docx,0.9562,,True,
20190808_00125499_Snr_Dir_Fclty_Ops_Planning.docx,20190113_00125499_Snr_Dir_Fclty_Ops_Planning.docx,0.9602,,True,
20190828_00001246ITP_I.doc,20060701_00001246ITP_I.doc,0.9567,,True,
20200124_00064827_JDFN_APSA_20200124.docx,20200929_00064827_JDFN_APSA_20200929.docx,0.9602,,True,
20201001_00100418_JDFN_APSA_20201211.docx,20230412_00100418_JDFN_APSA_20230419.docx,0.9514,,True,
20210815_00120950_JDFN_CUPE_20210604.docx,20170317_00120950_Technician.docx,0.9567,,True,
19920428_00001201Clerk.doc,20060124_1201Clerk.doc,0.9392,,,
20020718_00001459Student_recruiter.doc,20070911_1605_Student_Recruiter.doc,0.9600,,,
20040812_00001148Professional_occupations.doc,20061205_31634_registered_nurse.doc,0.9493,,,
20051219_00001085Student_recruiter.doc,20070911_1605_Student_Recruiter.doc,0.9600,,,
20060503_30516_ITP_III_Gr_12.doc,20120103_101503ITPIII.doc,0.9270,,,
20060718_00001043Technician.doc,"20030317_1043,76029,76037_Technician,_Gr_7_SFU_Document_Solutions.doc",0.9383,,,
20061029_126.doc,19990901_00000126Assoc_dir_recruitment_srv.doc,0.9522,,,
20061205_30968.doc,20031118_00030968Medical_office_assistant.doc,0.9409,,,
"20070719_30968_MOA,_Gr7.doc",20061205_342.doc,0.9365,,,
"20070719_810_MOA,_Gr7.doc",20061205_30968.doc,0.9406,,,
20080220_99176_ITP_III.doc,20090605_00001390_ITP_III.doc,0.9561,,,
20090323_00030227_Secretary_23Mar09_REV.doc,20080505_30227_Secretary_gr7.doc,0.9481,,,
20101115_107242_Mgr_Back_on_Track_Prgm.docx,20110531_00105640_Mgr_Back_on_Track_Prgm.docx,0.9329,,,
20120103_110969ITPI.doc,20120111_0111060_ITP_I.doc,0.9324,,,
20120509_00111601_ITP_I.docx,20120103_110970ITPI.doc,0.9401,,,
"20211018_102160,102845,117006,31842,98036,117893_JDFN_APSA_20220304.docx","20211018_102160,102845,31842,98036,114029,116315_JDFN_APSA.docx",0.9546,,,
19920824_00001251Computer_operator.doc,19920824_00001262Computer_operator.doc,1.0000,,False,
20040329_00001121Human_resources_asst.doc,20090225_00006705_Human_resources_asst.doc,0.9833,,False,
20070314_00001835_AP_Undergrad_Adv_14Mar07_Edited.doc,20070314_00101792_AP_Undergrad_Advisor_22Mar07_New.doc,0.9823,,False,
20111209_00110739_Program_Assistant.docx,20140321_00031955_Program_Assistant.docx,0.9768,,False,
20131023_00114241_Client_Services_Coodinator.docx,20150217_00116762_Client_Service_Coordinator.docx,0.9821,,False,
20161123_00120204_Technician.docx,20200710_00124335_JDFN_CUPE_20200715.docx,0.9657,,False,
20171204_00122822_Coop_Education_Coordinator.docx,20191120_00127620_JDFN_APSA_20191119.docx,0.9750,,False,
20180723_00124008_Business_Analyst.docx,20171123_00105403_Business_Analyst.docx,0.9852,,False,
20181125_00112923_Program_Assistant.docx,20181125_00007090_Program_Assistant.docx,1.0000,,False,
20190715_00098396_JDFN_APSA_20191108.docx,20190715_00109196_JDFN_APSA_20191108.docx,1.0000,,False,
20190802_00116315_Student_Recruitment_Coordinator.docx,20190606_00102845_Student_Recruitment_Coordinator.docx,1.0000,,False,
20190815_00124298_Project_Manager_I.docx,20190815_00124300_Project_Manager_I.docx,1.0000,,False,
20191010_00127417_Communications_Associate.docx,20180118_00118862_Communications_Associate.docx,0.9785,,False,
20200513_00123268_JDFN_APSA_20200515.docx,20190816_00125359_Coordinator_Graduate_Programs.docx,1.0000,,False,
"20201109_00128191,_00129818_JDFN_APSA_20201109.docx","20201109_00124799,_00124800,_00124801_JDFN_APSA_20201109.docx",1.0000,,False,
20211029_00131699_JDFN_APSA_20211029.docx,20210811_00122676_JDFN_APSA_20210810.docx,1.0000,,False,
19960608_00000216Head_swim_coach.doc,20070329_00000216Head_swim_coach.doc,0.9807,,True,
20100219_00001058Senior_buyer.docx,20011105_00001058Senior_buyer.doc,0.9850,,True,
20130823_00030536_Undergraduate_Program_Assistant.docx,20130823_00030536_Secretary.docx,1.0000,,True,
20160322_00118742_Director_University_Projects.docx,20160404_00118742_Director_University_Projects.docx,0.9771,,True,
20170817_00001482_Library_Assistant.doc,20021009_00001482Library_assistant.doc,0.9936,,True,
20180426_00000964_Technician.docx,20191121_00000964_00136217_JDFN_CUPE_20240909.docx,1.0000,,True,
20181105_00124341_Secretary.docx,20190603_00124341_Secretary.docx,1.0000,,True,
20190331_00125869_Program_Assistant.docx,20191204_00127681_00125869_JDFN_CUPE_20191204.docx,1.0000,,True,
20190725_00110719_JDFN_CUPE_20190830.docx,20201117_00110719_JDFN_CUPE_20201117.docx,1.0000,,True,
20190814_00122947_Desktop_Support_Analyst.docx,20200626_00122947_JDFN_APSA_20200626.docx,1.0000,,True,
20190819_00125908_JDFN_APSA_20190819.docx,20191122_00125908_00127635_00127636_JDFN_APSA_20191122.docx,1.0000,,True,
20190829_20191002_00125975_AV_Media_Ops_Manager.docx,20190822_00125975_AV_Media_Ops_Manager.docx,1.0000,,True,
20200414_00001451_JDFN_CUPE_20200428.docx,20181111_00001451_Course_Production_Technician.docx,1.0000,,True,
20201028_00080013_JDFN_CUPE_20201028.docx,20121004_00080013_Technician.docx,1.0000,,True,
20210508_00115569^00133976_JDFN_APSA_20230130.docx,20210507_00115569_JDFN_APSA_20210507.docx,1.0000,,True,
20220518_00122227_JDFN_APEX_20220518.docx,20211018_00122227_JDFN_APEX_20211025.docx,0.9803,,True,
19960201_00030768Senate_ast_electoral_off.doc,20061029_30768.doc,0.9637,,,
20040116_00001783Clerk.doc,20061029_1784.doc,0.9823,,,
20050927_00031938Clerk.doc,20061205_31938.doc,0.9729,,,
"20060925_30136,30303,31023,01714,01794,100977.doc",20040107_00031023Clerk.doc,0.9807,,,
20061029_1097.doc,20061029_01108.doc,1.0000,,,
20061029_31842.doc,20070911_31842_Student_Recruiter.doc,0.9913,,,
20061205_31634_registered_nurse.doc,20061205_1148_registered_nurse.doc,1.0000,,,
"20070606_Secretary,_Gr._6,_French,_pos_0436.doc","20070606_Secretary,_Gr._6,_French,_0436.doc",1.0000,,,
20070911_102845_Student_Recruiter.doc,20070718_00001605__Student_Recruiter_Recruitment.doc,0.9891,,,
20070911_31842_Student_Recruiter.doc,20020718_109982_Student_Recruiter.doc,0.9872,,,
20090323_00030227_Secretary_23Mar09.doc,20080505_30227_Secretary_gr7.doc,1.0000,,,
"20120606_Clerk_Typist,_grade_6,_Pos.__111777,_Temp.doc","20120606_Clerk_Typist_gr_6,_MECS,_Pos.__111777__(Temp).doc",1.0000,,,
20171123_000122747_Senior_Technology_Manager.docx,20170919_00064538_Senior_Technology_Mgr.docx,0.9914,,,
20190819_126958_JDFN_CUPE_20190819.docx,20190823_126957_JDFN_CUPE_20190819.docx,1.0000,,,
20201207_00000044_JDFN_APSA_20201222.docx,"20220427_0044,_130086,_132624_JDFN_APSA_20220427.docx",1.0000,,,
"20220530_00129884,_00132845_JDFN_APSA_20220530.docx",20220917_129884_132845_133456_135548_JDFN_APSA_20240410.docx,1.0000,,,
